Clasificación,Entidad,Nombre del sitio,Dominio,Sitio activo,CMS,IP servidor,Certificado de seguridad,Estatus proyecto,Comentarios
AG,CGAI,Repositorio temático institucional CIEP,estudios.pregrado.udg.mx,No,PHP,148.202.248.71,No tiene,,Página Inaccesible
AG,CGAI,SISECA - Sistema de Seguimiento a la Calidad de los Programas Educativos,siseca.udg.mx,No,PHP,148.202.248.71,No tiene,,Página Inaccesible
AG,CGAI,Sistema de Seguimiento a Egresados,egreso.pregrado.udg.mx,No,PHP,148.202.248.71,No tiene,,Página Inaccesible
AG,CGAI,Diplomado en enseñanza y aprendizaje móvil,movil.cda.cgai.udg.mx,No,PHP,148.202.248.71,No tiene,,Página Inaccesible
AG,CGAI,CREA,crea.udg.mx,No,PHP,148.202.248.71,No tiene,,Página Inaccesible
AG,CGAI,Red Universitaria de Aprendizaje MX,rua.udg.mx,No,PHP,148.202.248.71,No tiene,,Página Inaccesible
AG,CGAI,PROINNOVA,proinnova.cgai.udg.mx,No,PHP,148.202.34.68,No tiene,,
AG,CGAI,Coordinación General Académica - PROESDE,http://148.202.168.5/proesde,No,Otro,,No tiene,,JAVA/MySQL
AG,CGAI,Coordinación General Académica,http://148.202.34.140/webcgai/www/,Sí,D10,148.202.34.140,No tiene,NA,
AG,CGCE,Titulación UDG,https://titulacion.udg.mx/,Sí,D10,148.202.34.141,Activo,NA,
AG,CGCE,Coordinación General de Control Escolar,https://escolar.udg.mx/,Sí,D10,148.202.105.188,Activo,NA,
AG,CGEDC,Unidad de Servicio Social,https://serviciosocial.udg.mx/,Sí,D10,148.202.34.141,Activo,Migrado y publicado,
AG,CGEDC,Nos late servir,https://www.noslateservir.udg.mx/,Sí,D10,148.202.34.140,Activo,NA,
AG,CGEDC,Coordinación de Extensión y Acción Social,https://www.ceas.udg.mx/,Sí,D10,148.202.34.140,Activo,NA,
AG,CGEDC,MUSA,https://www.musaudg.mx/,Sí,Wix,Externo,Activo,2da etapa,
AG,CGEDC,Coordinación General de Extensión y Difusión Cultural,https://cgedc.udg.mx/,Sí,D10,148.202.34.141,Activo,Migrado y publicado,
AG,CGEDC,Cultura UDG,https://www.cultura.udg.mx/,Sí,PHP,Externo,Activo,,
AG,CGEDC,Teatro Diana,https://teatrodiana.com/,Sí,WordPress,107.190.137.202,Activo,,
AG,CGEDC,Artes Escénicas,https://artesescenicas.udg.mx/,Sí,PHP,Externo,Activo,,
AG,CGEDC,FIM GDL,https://fimgdl.udg.mx/,Sí,WordPress,Externo,Activo,,
AG,CGEDC,Bienal JA Monroy,https://bienaljamonroy.udg.mx/,No,PHP,Externo,No tiene,,
AG,CGEDC,Ballet Folclorico,https://balletfolclorico.udg.mx/,Sí,PHP,Externo,Activo,,
AG,CGEDC,LUVINA,https://luvina.com.mx/,Sí,WordPress,Externo,Activo,,
AG,CGEDC,Festival Papirolas,https://papirolas.udg.mx/,Sí,WordPress,Externo,Activo,,
AG,CGP,Coordinación General de Patrimonio,https://patrimonio.udg.mx/,Sí,D10,148.202.34.141,Activo,NA,
AG,CGPE,Coordinación General de Planeación y Evaluación CGPE,https://cgpe.udg.mx/,Sí,D10,148.202.34.141,Activo,Migrado y publicado,
AG,CGPE,"Plan de Desarrollo Institucional 2019-2025, visión 2030",https://pdi.udg.mx/,No,D9,NA,No tiene,Solicitud de baja,Ticket 39636
AG,CGPE,Sistema Institucional de Estadísticas de la Universidad de Guadalajara,https://sie.udg.mx/,Sí,D10,148.202.34.95,Activo,Migrado y publicado,
AG,CGRH,Coordinación General de Recursos Humanos,https://cgrh.udg.mx/,Sí,D10,148.202.34.141,Activo,NA,
AG,CGSEG,Coordinación General de Seguridad Universitaria,nd,No,D10,,No tiene,En proceso de migración,Nueva creación
AG,CGSU,Coordinación de Servicios Estudiantiles,https://estudiantes.udg.mx/,Sí,D10,148.202.34.140,Activo,Migrado y publicado,
AG,CGSU,Leones Negros,https://leonesnegrosudg.mx/,Sí,D7,148.202.248.76,Activo,Migrado de CMS,
AG,CGSU,Coordinación General de Servicios a Universitarios,https://cgsu.udg.mx/,Sí,D10,148.202.34.141,Activo,Migrado y publicado,
AG,CGSU,CDU,https://cdu.udg.mx/,Sí,WordPress,148.202.229.57,Activo,,
AG,CGTA,Latin America High Performance Computer Conferencia CARLA 2021,https://carla2021.org/,Sí,D8,148.202.34.141,Activo,,
AG,CGTA,Sistema Mexicano de Investigación en Psicología,http://www.smip.udg.mx/,Sí,D7,148.202.34.141,No tiene,,
AG,CGTA,Sistema Integral de Información y Administración Universitaria SIIAU,https://siiau.udg.mx/,Sí,D10,148.202.34.141,Activo,Migrado y publicado,
AG,CGTA,Coordinación General de Tecnologías de la Administración,https://cgta.udg.mx/,Sí,D10,148.202.34.140,Activo,NA,
AG,CGTA,Universidad de Guadalajara,https://www.udg.mx/,Sí,D10,148.202.34.140,Activo,NA,
AG,CGTA,Recrea,http://www.udgtalent.udg.mx/,Sí,D8,148.202.34.87,No tiene,Sistema,
AG,CGTA,REDMEXSU,http://www.redmexsu.udg.mx/,Sí,D7,148.202.248.67,No tiene,,
AG,CGTA,Centro de Análisis de Datos y Supercómputo ,http://www.cads.cgti.udg.mx/,No,Eliminado,NA,Eliminado,Eliminado,Ticket 38491
AG,CGTA,Recrea,http://www.diagnostico.udg.mx/,Sí,D8,148.202.34.87,No tiene,Sistema,
AG,CGTA,CGSAIT Repositorio,https://www.repos.cgsait.udg.mx/,No,D10,148.202.248.76,No tiene,NA,Página Inaccesible
AG,CGV,Coordinación de Egresados y Ex Alumnos,https://egresados.udg.mx/,Sí,Otro,148.202.248.76,Activo,,
AG,CGV,Coordinacion General de Vinculación,https://cgv.udg.mx/,Sí,D10,148.202.34.140,Activo,NA,
AG,COMSOC,Premio Jalisco de Periodismo,https://premiojaliscoperiodismo.org/,Sí,D10,148.202.34.141,Activo,NA,
AG,COMSOC,Entre Todas,https://entretodas.udg.mx/inicio,Sí,D10,148.202.34.140,Activo,NA,
AG,COMSOC,30 Años de la red universitaria,https://aniversariodelared.udg.mx/,Sí,D10,148.202.34.140,Activo,NA,
AG,COMSOC,Manada de apoyo,https://manadadeapoyo.udg.mx/,Sí,D10,148.202.34.140,Activo,NA,
AG,COMSOC,100 años de la refundación de la UDG,https://centenario.udg.mx/,Sí,D10,148.202.34.140,Activo,NA,
AG,COMSOC,Coordinación General de Comunicación Social,https://comsoc.udg.mx/,Sí,D10,148.202.34.53,Activo,Migrado y publicado,
AG,COMSOC,Webinars,http://www.webinars.udg.mx/,No,Eliminado,NA,Eliminado,Eliminado,Ticket 38443
AG,COMSOC,Vacuna,http://vacuna.udg.mx/,No,Eliminado,NA,Eliminado,Eliminado,Ticket 38443
AG,COMSOC,RUGIDO,https://rugido.udg.mx/,Sí,D10,148.202.34.140,Activo,Migrado y publicado,
AG,COMSOC,Concurso de Fotografía,http://www.fotostamayo.udg.mx/,No,Eliminado,NA,Eliminado,Eliminado,Ticket 38443
AG,COMSOC,Regreso,http://www.regresoseguro.udg.mx/,No,Eliminado,NA,Eliminado,Eliminado,Ticket 38443
AG,COMSOC,Acortador de ligas,https://url.udg.mx,Sí,PHP,148.202.34.98,Activo,Sistema,
AG,COMSOC,Butaca,https://butaca.udg.mx,Sí,PHP,148.202.229.60,Activo,2da etapa,"Angular (Framework)
Se revisará más adelante con el equipo de COMSOC"
AG,COMSOC,Gaceta UDG,https://www.gaceta.udg.mx/,Sí,WordPress,148.202.34.142,Activo,,
AG,COMSOC,Encuentro Internacional de Periodistas,https://www.eip.udg.mx,Sí,D10,148.202.34.140,Activo,Migrado y publicado,
AG,COMSOC,Sistema de Entrevista,https://entrevistascomsoc.udg.mx/,Sí,PHP,148.202.34.140,Activo,Sistema,
AG,CONTRALORÍA,Contraloría General,https://contraloriageneral.udg.mx/,Sí,D10,148.202.34.141,Activo,Migrado y publicado,
AG,CONTRALORÍA,Asociación Mexicana de Órganos de Control y Vigilancia en Instituciones de Educación Superior A.C.,https://amocvies.mx/,No,Eliminado,NA,Eliminado,Eliminado,Eliminado por Contraloría
AG,CTAG,Coordinación de Transparencia y Archivo General,https://www.transparencia.udg.mx/,Sí,D10,148.202.34.141,Activo,Migrado y publicado,
AG,CTAG,Nómina - Coordinación de Transparencia y Archivo General,https://www1.transparencia.udg.mx/,No,Eliminado,NA,Eliminado,Eliminado,Eliminado por CTAG
AG,CTAG,Jornadas archivísticas 2021,http://www.jornadasarchivisticas2021.udg.mx/,Sí,D9,148.202.34.141,No tiene,,
CUyS,CUAAD,"Centro Universitario de Arte, Arquitectura y Diseño",https://cuaad.udg.mx/,Sí,D10,148.202.102.119,Activo,Migrado y publicado,
CUyS,CUAAD,Foro Virtual de Investigación y Educación en Diseño Gráfico,https://foroinvestigacionydgcuaad.udg.mx/,Sí,D10,148.202.34.140,Activo,NA,
CUyS,CUAAD,Maestría de Estudios en Literacidad,http://mel.udg.mx/,Sí,D7,148.202.248.67,No tiene,,
CUyS,CUALTOS,Centro Universitario de los Altos,https://www.cualtos.udg.mx/,Sí,D10,148.202.248.18,Activo,NA,
CUyS,CUCBA,Centro Universitario de Ciencias Biológicas y Agropecuarias,https://cucba.udg.mx/,Sí,D7,148.202.81.55,Activo,Migrado de CMS,
CUyS,CUCBA,Centro de Estudios e Investigaciones en Comportamiento,https://ceic.cucba.udg.mx/,Sí,D10,148.202.34.187,Activo,Migrado y publicado,
CUyS,CUCBA,Maestría en Ciencias de la Salud Ambiental - CUCBA,http://saludambiental.udg.mx/,Sí,WordPress, 148.202.34.55,Activo,,
CUyS,CUCBA,Expo Imagina,http://expoimagina.cucba.udg.mx/,Sí,Otro,148.202.81.55,No tiene,,
CUyS,CUCBA,Maestría y Doctorado en Ciencia del Comportamiento Orientación Neurociencias,http://pccn.cucba.udg.mx/,Sí,D7,148.202.81.55,No tiene,,
CUyS,CUCBA,Unidad de Biblioteca CUCBA,http://biblioteca.cucba.udg.mx/,Sí,Otro,148.202.81.101,No tiene,,
CUyS,CUCBA,Radio CUCBA,http://radio.cucba.udg.mx/,Sí,Otro,148.202.81.81,No tiene,,
CUyS,CUCBA,Revista IBUGANA (revista del Instituto de Botánica,http://ibugana.cucba.udg.mx/,Sí,Otro,148.202.81.55,No tiene,,
CUyS,CUCBA,Pagina de Protección Civil del CUCBA,http://seguridad.cucba.udg.mx/,Sí,D7,148.202.81.73,No tiene,,
CUyS,CUCBA,Posgrados CUCBA,http://posgrado.cucba.udg.mx/,Sí,D7,148.202.81.74,No tiene,,
CUyS,CUCBA,"Maestría en Ciencias en Biosistemática, Ecología y Manejo de Recursos Naturales y Agricolas",http://bimarena.cucba.udg.mx/,Sí,D7,148.202.81.55,No tiene,,
CUyS,CUCBA,Cooridnación de extensión CUCBA,http://extension.cucba.udg.mx,Sí,D7,148.202.81.72,No tiene,,
CUyS,CUCEA,Centro Universitario de Ciencias Económico Administrativas,https://www.cucea.udg.mx/,Sí,D10,148.202.34.140,Activo,Migrado y publicado,
CUyS,CUCEA,Maestría en Tecnologías para el Aprendizaje,https://mta.udg.mx/,Sí,D7,148.202.248.76,Activo,,
CUyS,CUCEI,Centro Universitario de Ciencias Exactas e Ingeniería,https://www.cucei.udg.mx/es,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Ingeniería en Topografía Geomática,https://www.cucei.udg.mx/carreras/topografica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Ingeniería Mecánica Eléctrica,https://www.cucei.udg.mx/carreras/mecanica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Químico Farmacéutico Biólogo,https://www.cucei.udg.mx/carreras/farmacia,No,D7,148.202.248.21,No tiene,,
CUyS,CUCEI,Ingeniería Industrial,https://www.cucei.udg.mx/carreras/industrial,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Ingeniería Civil,https://www.cucei.udg.mx/carreras/civil,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Ingeniería en Electrónica y Sistemas Inteligentes,https://www.cucei.udg.mx/carreras/electronica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Ingeniería Química,https://www.cucei.udg.mx/carreras/ingquimica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Ingeniería Biomédica,https://www.cucei.udg.mx/carreras/biomedica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Licenciatura en Física,https://www.cucei.udg.mx/carreras/fisica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Ingeniería Informática,https://www.cucei.udg.mx/carreras/informatica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Licenciatura en Matemáticas,https://www.cucei.udg.mx/carreras/matematicas,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Ingeniería en Computación,https://www.cucei.udg.mx/carreras/computacion,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Ingeniería en Alimentos y Biotecnología,https://www.cucei.udg.mx/carreras/alimentos,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Licenciatura en Química,https://www.cucei.udg.mx/carreras/quimica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Químico Farmacéutico Biólogo,https://www.cucei.udg.mx/carreras/farmaceutica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Ingeniería Robótica,https://www.cucei.udg.mx/carreras/robotica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Ingeniería en Ciencia de Materiales,https://www.cucei.udg.mx/carreras/materiales,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Ingeniería Fotónica,https://www.cucei.udg.mx/carreras/fotonica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Ingeniería en Logística y Transporte,https://www.cucei.udg.mx/carreras/logistica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Ingeniería en Electromovilidad y Autotrónica,https://www.cucei.udg.mx/carreras/electromovilidad,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Ingeniería en Mecatrónica Inteligente,https://www.cucei.udg.mx/carreras/mecatronica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Licenciatura en Desarrollo de Sistemas Web (Virtual),https://www.cucei.udg.mx/carreras/desarrolloweb,Sí,D7,148.202.248.21,Activo,,
